grid.nam,latitude,longitude,elevation,all_flower_mid,all_fruit_mid,development_time,development_time_herb,development_time_WD,flower_herb_mid,flower_WD_mid,fruit_herb_mid,fruiting_WD_mid,all_flower_var,flower_herb_var,flower_WD_var,all_fruit_var,fruit_herb_var,fruit_WD_var,MAT,TCQ,MAP,PDM,TS,PS,accu_2019
573,45.29,123.21,141.69,194.38,218.97,24.8,21.3,58.1,197.2,159.1,218.7,221.5,0.17,0.16,0.18,0.16,0.15,0.25,278.42685,259.7101,414.172,1.03723,137.853,119.373,3324.221895
574,45.12,124.47,146.317,198.65,220.71,21.5,19.6,63.8,200.1,161.7,220.4,227.7,0.18,0.18,0.2,0.18,0.18,0.25,278.13944,259.0319,449.73,2.09905,139.861,114.169,3306.8605
575,44.94,125.72,168.429,200.92,223.59,22.2,19.6,67,202.4,169.7,222.7,240.2,0.19,0.18,0.24,0.19,0.18,0.24,277.50765,257.8639,544.664,3.52327,142.782,108.151,3280.24127
576,44.75,126.97,213.878,192.71,221.43,29.2,23.9,66.3,197.4,151.4,221.5,221.1,0.21,0.18,0.16,0.2,0.18,0.31,276.71803,256.9124,630.85,4.94244,143.021,101.712,3157.874002
577,44.55,128.2,586.317,192.02,220.7,30.1,24.2,69.7,196.8,150.4,220.3,223.7,0.21,0.19,0.16,0.2,0.19,0.28,274.62598,255.3727,679.721,5.5793,139.42,97.2103,2521.957785
578,44.34,129.43,472.65,191.95,220.32,30.1,24.5,70.2,196.8,150.2,219.9,224,0.21,0.19,0.15,0.19,0.18,0.29,276.03577,257.3986,587.766,4.33754,135.449,93.2068,2753.407335
579,44.12,130.66,508.585,191.97,221.24,30.6,25.5,68.3,196.3,153.8,220.6,226.7,0.21,0.19,0.15,0.19,0.18,0.26,275.68363,258.0934,595.343,4.80439,128.646,88.9879,2734.795845
593,43.53,81.16,1431.25,187.04,212.21,24.6,21,52.9,190.1,158.4,212,213.7,0.18,0.17,0.15,0.16,0.15,0.22,278.2086,262.4834,349.651,9.58738,111.556,51.7211,2587.001235
594,43.73,82.38,1417.39,187.64,212.57,24.2,20.6,52.3,190.5,160.7,212.2,215.5,0.18,0.17,0.16,0.16,0.15,0.19,277.50351,260.2455,258.416,6.30158,121.215,58.9012,2672.074462
595,43.93,83.61,2429.2,189.99,213.41,23.1,19.7,48.3,193,162.7,213.5,212.9,0.18,0.17,0.18,0.16,0.15,0.2,270.45941,253.0253,316.654,4.06158,122.432,81.4208,1550.638523
596,44.11,84.84,1662.47,191.48,215.07,22.9,19.9,48.2,193.8,166.4,215,216,0.17,0.16,0.2,0.16,0.15,0.23,274.97313,256.941,237.732,3.703,127.54,72.657,2437.197937
597,44.29,86.08,669.195,190.82,213.25,21.7,19.3,44.4,193.2,164.8,213.7,208.8,0.19,0.18,0.2,0.16,0.16,0.22,281.46112,262.7637,158.857,3.71177,133.811,53.9853,3535.840452
598,44.45,87.32,460.475,191.14,212.7,21.4,18.6,48.9,193.4,164.9,212.6,213.9,0.18,0.17,0.18,0.16,0.15,0.19,281.82486,262.6898,166.003,5.47261,138.215,37.9972,3867.053975
599,44.6,88.57,566.929,188.46,212.67,23.9,21.4,44.4,191.3,160.4,213.7,203.3,0.17,0.16,0.17,0.16,0.15,0.2,280.34544,260.8885,167.27,5.64056,140.603,34.889,3841.81952
600,44.75,89.82,778.538,191.45,213.42,23,20.4,43.5,194.2,163.6,214.4,205,0.16,0.15,0.2,0.14,0.14,0.21,279.13121,260.2077,144.789,4.36644,137.139,41.7779,3584.275895
601,44.88,91.08,1216.56,192.52,215.33,23.1,20,51.3,194.8,168,215.1,217.2,0.15,0.14,0.2,0.15,0.14,0.2,278.24326,260.6721,106.507,2.15967,129.28,60.3334,3031.348706
602,45,92.35,1247.24,191.82,215.73,24.3,19.7,55.6,194.7,166.6,215.1,220.3,0.14,0.12,0.17,0.12,0.11,0.21,279.7521,261.0716,73.5096,1.10235,135.607,69.0563,3602.904987
620,45.18,115.42,1163.64,197.33,219.8,23.1,20.1,54.2,200.1,162.4,219.8,219.7,0.17,0.16,0.15,0.14,0.13,0.18,273.403876,254.1976,264.176,2.08497,141.569,107.666,2448.561272
621,45.08,116.69,928.35,197.96,220.46,23.3,19.9,57.7,201.1,158.5,220.5,219.6,0.17,0.16,0.15,0.13,0.13,0.21,274.24139,254.5622,273.668,2.27606,144.775,108.313,2529.65264
622,44.97,117.96,982.073,198.51,222.22,24.5,21.6,52.8,201.8,158,223,213.5,0.17,0.15,0.15,0.13,0.12,0.22,274.109657,255.2382,340.468,2.68668,139.122,111.436,2395.621823
623,44.85,119.22,1002.02,198.51,222.44,24.7,20.8,57.5,202.1,161.4,222.6,220.6,0.17,0.16,0.16,0.14,0.13,0.2,274.33981,256.4616,407.613,1.97181,132.987,117.213,2301.182735
624,44.71,120.48,537.718,202.99,226.33,25.9,21.5,67.6,206.8,158.1,226.2,228.1,0.18,0.16,0.17,0.15,0.14,0.23,277.55684,260.1853,409.029,1.45481,129.681,121.925,2931.47026
625,44.57,121.73,200.707,201.47,226.39,26.3,23,66.1,204.1,163,225.9,233.8,0.19,0.17,0.22,0.16,0.15,0.28,279.24404,261.4469,395.262,1.10292,132.023,120.844,3426.052107
626,44.41,122.98,151.875,203.6,227.77,26.3,24,56.7,205.2,175.2,227,240.6,0.21,0.2,0.27,0.15,0.13,0.33,278.87453,260.512,419.465,1.66495,135.179,116.324,3413.673285
627,44.25,124.22,186.244,209.26,235.86,24.8,24.4,31,208.5,219.5,234.6,258.4,0.18,0.18,0.03,0.12,0.12,0.07,278.34106,259.6969,491.264,2.72386,136.591,111.852,3392.038062
628,44.07,125.46,206.225,201.51,232.76,32.1,26.4,74,205.4,168.5,231.2,245.6,0.23,0.2,0.26,0.16,0.16,0.21,278.00194,258.8953,602.384,4.51554,138.914,106.718,3347.34734
629,43.88,126.69,331.095,203.28,233.24,35.6,28.5,73,209.8,158.6,232.3,238.6,0.22,0.18,0.2,0.16,0.14,0.23,276.78713,257.3455,685.438,5.95342,140.098,99.9402,3027.989033
630,43.68,127.91,569.625,192.11,222.11,31.4,25,70.9,197.5,151,221.6,225.8,0.22,0.2,0.16,0.2,0.19,0.27,275.59967,257.0665,670.506,5.78593,134.411,96.8972,2674.446245
631,43.48,129.13,576.641,192.05,222.07,31.4,24.5,68.5,197.4,155,221.5,225.6,0.2,0.18,0.17,0.19,0.18,0.24,275.89863,258.1453,602.125,4.65391,130.012,94.1683,2649.18254
632,43.26,130.34,543.366,192.2,221.22,30.4,24,71.3,197,153.6,220,230.1,0.2,0.18,0.17,0.19,0.19,0.24,276.00418,259.3736,636.242,4.77364,123.224,87.6612,2570.211374
645,42.45,80.26,3215.98,192.15,215.48,23.4,20,50.6,194.4,166.7,215.2,217.9,0.15,0.14,0.21,0.13,0.12,0.22,268.979,254.4052,382.549,4.22205,104.895,78.6983,790.1987196
646,42.66,81.46,2834.79,191.67,215.91,24,20.2,52.8,194.3,164.7,215.5,218.9,0.15,0.14,0.19,0.13,0.12,0.19,271.22314,255.9089,377.266,3.99734,108.877,81.4067,1179.475143
647,42.87,82.66,2784.82,190.83,214.07,22.4,18.2,54.2,193.9,161.8,213.6,217.6,0.17,0.16,0.18,0.14,0.14,0.17,270.5103,254.1082,317.06,3.08814,115.163,86.4634,1224.844133
648,43.06,83.87,2468.65,190.66,213.57,22.6,18.7,54.5,193.6,159.8,213.2,216.4,0.17,0.16,0.16,0.14,0.14,0.17,270.33961,252.6668,267.876,2.49598,122.549,94.6361,1333.712268
649,43.24,85.09,3261.73,190.58,213.15,21.9,18.7,49,193.3,162.7,213.2,213,0.18,0.17,0.17,0.16,0.15,0.19,267.41617,251.8389,311.83,2.15929,110.643,100.565,725.093075
650,43.41,86.31,2864.54,191.79,212.97,21,18.3,47.8,194,165.3,212.9,213.8,0.18,0.17,0.18,0.15,0.15,0.19,270.40809,255.9736,288.013,1.88595,105.292,94.2387,1130.34261
